Code;Description;Detailed English Description;Detailed French Description
XA.06;REMBOURSEMENT DES FRAIS DE TRANSPORT EN FRANCE METROPOLITAINE;Reimbursement for transportation within mainland France (train, rental car, etc.).;Frais de transport (train, voiture…) en France métropolitaine.
XA.07;REMBOURSEMENT DES FRAIS DE RESTAURATION A L'ETRANGER;Meal expenses incurred during international missions.;Frais de repas à l’étranger dans le cadre de missions.
XA.08;REMBOURSEMENT DES FRAIS DE TRANSPORT A L'ETRANGER;Transport costs for international missions (flights, local transfers).;Transport international : vols, transferts locaux, etc.
XA.09;REMBOURSEMENT DES FRAIS D'HEBERGEMENT A L'ETRANGER;Hotel and lodging reimbursement during overseas missions.;Remboursement des nuits d’hôtel ou hébergement à l’étranger.
XA.1;REMBOURSEMENT DES FRAIS DE MISSIONS DES ETUDIANTS;Reimbursement of travel and accommodation costs for student research trips.;Frais de missions de recherche et déplacements d’étudiants.
XA.11;REMBOURSEMENT FRAIS DE MISSIONS EN FRANCE METROPOLITAINE Etudiants;Domestic travel reimbursements for student fieldwork or academic events.;Remboursement missions étudiantes en France métropolitaine.
XA.12;REMBOURSEMENT FRAIS DE MISSIONS A L'ETRANGER Etudiants;International travel expenses for students on mission or fieldwork abroad.;Frais de missions à l’étranger pour étudiants.
XA.13;AUTRES REMBOURSEMENTS DE FRAIS DE MISSIONS Etudiants;Uncategorized or mixed mission-related expenses reimbursed to students.;Autres frais liés aux déplacements d’étudiants.
XA.14;FRAIS DE MISSIONS DE RECHERCHE SUR LE TERRAIN Etudiants;Field-specific mission support for students, e.g. sample collection, data logging.;Frais de recherche de terrain pour étudiants (prélèvements, mesures…).
XA.2;REMBOURSEMENT DES FRAIS DE MISSIONS DES PERSONNALITES EXTERIEURES;Mission cost reimbursement for invited guests, collaborators, or external experts.;Frais de missions pour intervenants ou experts extérieurs.
XA.21;REMBOURSEMENT FRAIS DE MISSIONS FRANCE METROPOLITAINE Personnalités extérieures;Travel reimbursement for external guests within mainland France.;Remboursements des déplacements en France pour invités extérieurs.
XA.22;REMBOURSEMENT FRAIS DE MISSIONS A L'ETRANGER  Personnalités extérieures;International travel cost coverage for visiting researchers or guests.;Frais de mission à l’étranger pour intervenants extérieurs.
XA.23;AUTRES REMBOURSEMENTS FRAIS DE MISSIONS  Personnalités extérieures;Miscellaneous travel reimbursements for non-staff participants.;Autres frais de missions pour personnalités extérieures.
XA.24;FRAIS DE MISSIONS DE RECHERCHE SUR LE TERRAIN  Personnalités extérieures;Field mission support for non-staff collaborators (e.g. consultants).;Frais de terrain pour intervenants ou partenaires extérieurs.
XA.3;REMBOURSEMENTS DE DEPENSES REALISEES PAR CARTES D'AFFAIRES;Reimbursement of expenses paid by corporate credit cards for business purposes.;Remboursement de dépenses payées par carte affaires (institutionnelle).
XA.31;OSOLETE - REMBOURSEMENTS DE DEPENSES REALISEES PAR CARTES AFFAIRES;Deprecated – replaced by specific codes for categorized card expenses.;Obsolète – utiliser les sous-codes par nature de dépense.
XA.32;REMBOURSEMENTS DE DEPENSES DE TRANSPORT REALISEES PAR CARTES AFFAIRES EN FRANCE METROPOLITAINE;Domestic transport costs paid via corporate cards.;Frais de transport en métropole réglés par carte affaires.
XA.33;REMBOURSEMENTS DE DEPENSES DE RESTAURATION REALISEES PAR CARTES AFFAIRES EN FRANCE METROPOLITAINE;Meal expenses during travel paid with a business card in France.;Frais de restauration réglés par carte affaires en France.
XA.34;AUTRES REMBOURSEMENTS DE DEPENSES REALISEES PAR CARTES AFFAIRES EN FRANCE METROPOLITAINE;Other French expenses (e.g. tolls, fuel, parking) charged to business cards.;Autres frais en métropole (péages, essence…) par carte affaires.
XA.35;REMBOURSEMENTS DE DEPENSES DE TRANSPORT REALISEES PAR CARTES AFFAIRES A L'ETRANGER;International transport paid with institutional card (e.g. flights, taxi).;Transport à l’étranger réglé par carte affaires (avion, taxi…).
XA.36;REMBOURSEMENTS DE DEPENSES DE RESTAURATION REALISEES PAR CARTES AFFAIRES A L'ETRANGER;Restaurant or meal expenses abroad paid via institutional card.;Repas à l’étranger réglés avec carte affaires.
XA.37;REMBOURSEMENTS DE DEPENSES D'HEBERGEMENT REALISEES PAR CARTES AFFAIRES A L'ETRANGER;Lodging expenses abroad paid with institutional card.;Hébergement à l’étranger réglé par carte affaires.
XA.38;AUTRES REMBOURSEMENTS DE DEPENSES REALISEES PAR CARTES AFFAIRES A L'ETRANGER;Misc. international expenses charged to institutional cards (e.g. visa, taxis).;Autres frais à l’étranger réglés par carte affaires : visa, taxis…
XA.4;CHANGEMENT DE RESIDENCE;Reimbursement or allowance linked to official relocation of personnel.;Frais ou indemnités liés à un changement officiel de résidence.
XA.41;INDEMNITES FORFAITAIRES DE CHANGEMENT DE RESIDENCE;Flat-rate compensation for authorized relocations (e.g. hiring, transfers).;Indemnités forfaitaires pour mobilité géographique du personnel.
XB;CHARGES DE PERSONNEL;Personnel-related expenses including taxes, social charges, remuneration, and health services.;Charges liées au personnel : fiscalité, cotisations sociales, rémunérations, santé au travail.
XB.0;CHARGES FISCALES REMUNERATION;Employer-side taxes and mandatory contributions related to salaries and wages.;Taxes et contributions obligatoires sur les rémunérations versées.
XB.01;TAXE SUR LES SALAIRES;Payroll tax applicable to non-VAT-subjected public and private employers.;Taxe sur les salaires applicable aux employeurs non assujettis à la TVA.
XB.02;TAXE D'APPRENTISSAGE;Tax paid by employers to support apprenticeships and vocational training.;Contribution au financement de l’apprentissage et de la formation professionnelle.
XB.03;VERSEMENTS DE TRANSPORT PERSONNEL PERMANENT;Transport contributions for permanent employees (employer-funded public transit support).;Versements obligatoires pour le financement des transports publics pour les agents permanents.
XB.04;VERSEMENTS DE TRANSPORT REMUNERATIONS DIVERSES;Public transit contributions for non-standard or temporary remunerations.;Versements transport associés à des rémunérations ponctuelles ou temporaires.
XB.05;COTISATIONS FNAL PERSONNEL PERMANENT;Employer contributions to the French national housing aid fund (FNAL) for staff.;Cotisations FNAL pour le logement versées pour le personnel permanent.
XB.06;COTISATIONS FNAL REMUNERATIONS DIVERSES;FNAL contributions on variable or non-permanent salaries.;Cotisations logement appliquées à des rémunérations diverses ou exceptionnelles.
XB.07;AUTRES IMPOTS ET TAXES SUR REMUNERATIONS;Other miscellaneous payroll-related taxes not categorized above.;Autres taxes et prélèvements liés aux salaires.
XB.08;AUTRES CHARGES DE PERSONNEL REDEVANCES A L’OMI;Personnel fees or contributions paid to international mobility organizations.;Redevances versées à l'OMI (Organisation pour la Mobilité Internationale).
XB.09;TAXE PERCUE PAR LES ORGANISMES PUBLICS INTERNATIONAUX;Taxes collected by international public bodies (e.g. intergovernmental institutions).;Taxes prélevées par des organismes publics internationaux.
XB.1;REMUNERATIONS ET CHARGES SOCIALES;Compensation and related social security contributions (salaries, indemnities, etc.).;Rémunérations et charges sociales : salaires, cotisations, allocations, etc.
XB.11;ACCUEILS, ECHANGES TITULAIRES ACCUEILLIS EN DELEGATIONS;Salary costs for staff received on delegation or exchange programs.;Rémunérations pour titulaires accueillis dans le cadre d’échanges ou délégations.
XB.12;ACCUEILS CHAIRES D'EXCELLENCE CNRS-UNIVERSITES;Funding for high-level academic positions jointly supported by CNRS and universities.;Rémunérations pour chaires d’excellence CNRS-universités.
XB.13;COTISATIONS URSSAF SUR REMUNERATIONS DIVERSES;Social contributions (URSSAF) on non-standard payments or honoraria.;Cotisations sociales (URSSAF) sur primes, gratifications, cachets.
XB.14;PROVISIONS CHOMAGES;Budgetary provisions for future unemployment-related payouts.;Provisions comptables pour allocations chômage à venir.
XB.15;ALLOC.POUR PERTE D'EMPLOI -REMUNERATIONS DIVERSES;Unemployment benefits for contract terminations not covered under classic contracts.;Allocations chômage versées suite à fin de contrat non permanent.
XB.16;INDEMN DE PREAVIS ET DE LICENCIEMENT-  REMUNERATIONS DIVERSES;Notice and severance pay for contract terminations.;Indemnités de préavis et de licenciement versées au personnel.
XB.17;PERSONNEL INTERIMAIRE, DETACHE OU PRETE;Remuneration costs for temporary, seconded, or loaned personnel.;Coûts liés aux personnels intérimaires, détachés ou prêtés.
XB.18;AVANTAGES FAMILIAUX REMUNERATION DIVERSES  (HORS FRANCE);Family-related benefits or allowances granted to staff based outside France.;Avantages familiaux versés pour personnel hors du territoire français.
XB.19;AUTRES REMUNERATIONS DIVERSES;Other uncategorized payments such as bonuses, incentives, or non-recurring salaries.;Rémunérations diverses : primes, indemnités exceptionnelles, compléments.
XB.2;MEDECINE DU TRAVAIL;Occupational health services and associated costs.;Services de médecine du travail et dépenses associées.
XB.21;NE PLUS UTILISER - UTILISER EC.41;Deprecated – refer to EC.41 for updated classification of this health cost.;Obsolète – à remplacer par EC.41.
XB.22;MEDECINE STATUTAIRE - VISITES D'EMBAUCHE;Mandatory medical check-ups for new recruits (statutory medical exams).;Visites médicales obligatoires à l’embauche.
XB.23;MEDECINE DU TRAVAIL: FRAIS MEDICAUX LIES AUX DEPARTS A L'ETRANGER;Medical expenses related to international assignments or postings.;Frais médicaux pour mobilités ou missions à l’étranger.
XB.24;MEDECINE DU TRAVAIL: AUTRES FRAIS MEDICAUX;Other occupational health expenses (e.g. routine checkups, vaccinations).;Autres frais de médecine du travail : bilans, vaccins, consultations spécialisées.
XB.3;ŒUVRE SOCIALES;Social welfare and support initiatives for staff and families.;Actions sociales et aides aux personnels et à leurs familles.
XB.31;OEUVRES SOCIALES AIDES EXCEPTIONNELLES;One-time emergency support (e.g. financial aid, hardship relief) to employees.;Aides ponctuelles ou d'urgence pour agents en difficulté.
XB.32;DEPENSES SOCIALES DIVERSES;Uncategorized social benefits or well-being initiatives.;Dépenses diverses liées à l'action sociale et au bien-être.
XB.33;SUBVENTIONS CAES;Funding granted to the CAES (social and cultural committee of research institutes).;Subventions au CAES (Comité d’Action et d’Entraide Sociale du CNRS).
XB.34;SUBVENTIONS POUR AUTRES OEUVRES SOCIALES;Support for other social associations or initiatives benefiting personnel.;Subventions à d'autres structures d'entraide ou d'action sociale.
XB.35;RESTAURATION SOCIALE : SUBVENTIONS ORGANISMES, ET RESTAURANTS INTER-ENTREPRISES;Meal subsidies or contributions to staff canteens and inter-company restaurants.;Subventions à la restauration collective ou aux restaurants inter-entreprises.
XB.36;PRÊT A MOBILITE;Relocation or mobility loans to support personnel during geographic transfers.;Prêts accordés pour accompagner les changements de résidence ou mobilités.
XC;FRAIS ET SUBVENTIONS VERSEES A D'AUTRES ORGANISMES Y COMPRIS INTERNATIONAUX;External expenses, including registrations, publications, and financial contributions to other organizations.;Frais et subventions versés à d'autres structures, y compris internationales.
XC.0;FRAIS D'INSCRIPTIONS ET COTISATION;Fees for participation in scientific events and memberships.;Frais d’inscription à des événements ou cotisations d’organismes.
XC.01;FRAIS D'INSCRIPTION A DES COLLOQUES NON ORGANISES PAR L'ETABLISSEMENT;Registration for external scientific conferences or workshops.;Inscription à des colloques ou congrès hors établissement.
XC.02;COTISATIONS ASSOCIATIONS / CONCOURS DIVERS;Membership fees for associations or contributions to awards/competitions.;Cotisations à des associations, participations à concours ou prix.
XC.1;FRAIS DE PUBLICATION;Costs associated with scientific publishing or public notices.;Frais de publication : articles, annonces, communications institutionnelles.
XC.11;FRAIS DE PUBLICATIONS SCIENTIFIQUES;Open access fees, article processing charges (APCs), and publishing costs.;Frais de publication d’articles scientifiques (APC, open access…).
XC.12;FRAIS DE PUBLICATION D'ANNONCES DE RECRUTEMENT;Posting job advertisements on recruitment platforms or journals.;Publication d’annonces de recrutement (presse, plateformes…).
XC.13;AUTRES FRAIS DE PUBLICATION (BOAMP,…);Public notices and administrative announcements (e.g. in BOAMP or similar).;Autres publications administratives : appels d’offres, annonces BOAMP.
XC.2;SUBVENTIONS ET PARTICIPATIONS VERSEES A D'AUTRES ORGANISMES, Y COMPRIS INTERNATIONAUX;Grants and financial participation in collaborative or hosted programs.;Subventions ou participations versées à des organismes tiers ou partenaires.
XC.21;SUBV. OU PARTICIP. VERSEES DS LE CADRE DE CONTRATS ET PROG. DE RECH. ET DE DEV.;Funding within the scope of research contracts or R&D programs.;Financement dans le cadre de contrats de recherche ou programmes de R&D.
XC.22;SUBVENTIONS OU PARTICIPATIONS VERSEES DANS LE CADRE DE CONVENTIONS DE MIXITE;Financial support linked to joint public-private partnerships or mixed governance agreements.;Subventions dans le cadre de conventions de mixité public/privé.
XC.23;MANDAT DE GESTION;Funds transferred under a delegated financial management mandate.;Mandat confié à un organisme pour gérer des fonds ou projets.
XC.24;DELEGATION GLOBALE DE GESTION - FONCTIONNEMENT ET INVESTISSEMENT COURANT;Comprehensive management delegation for standard operational and investment expenses.;Délégation budgétaire couvrant fonctionnement et investissements courants.
XC.25;DELEGATION GLOBALE DE GESTION - INVESTISSEMENT NON COURANT;Delegated funding for exceptional or long-term capital investment.;Délégation de gestion pour investissements exceptionnels ou à long terme.
XC.26;SOUTIEN AUX REUNIONS ET COLLOQUES;Financial support for organizing or participating in academic events.;Aides financières pour réunions scientifiques, colloques ou séminaires.
XC.27;AUTRES SUBVENTIONS OU PARTICIPATIONS VERSEES A D'AUTRES ORGANISMES;Miscellaneous grants or financial contributions to institutions or partners.;Autres subventions versées à des organismes tiers (hors cadre contractuel).
XC.3;PRESTATIONS DE SERVICES ENTRE ETABLISSEMENTS;Inter-institutional service agreements or shared scientific resources.;Prestations de service entre établissements de recherche ou d’enseignement.
XC.31;SERVICES DE PRETS D'OUVRAGES ENTRE ETABLISSEMENTS;Interlibrary loans and resource sharing between institutions.;Prêts de documents ou ouvrages entre bibliothèques d’établissements.
XC.32;ACCES AUX EQUIPEMENTS SCIENTIFIQUES D'AUTRES ETABLISSEMENTS;Access fees for using equipment located at partner institutions.;Accès payant à des équipements scientifiques dans d'autres établissements.
XD;AUTRES CHARGES;Other institutional charges including real estate costs, taxes, and exceptional expenses.;Autres charges de l’établissement : immobilier, fiscalité, dépenses exceptionnelles.
XD.0;CHARGES FINANCIERES IMMOBILIERES, BAUX ET LOYERS;Real estate-related financial expenses including leases and property rentals.;Frais liés à l’immobilier : loyers, baux, charges de location.
